op,batch,vocab,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,logits_bytes,dram_floor_us,floor_frac_of_latency,git_commit,round
noop,1,151936,bfloat16,0,1,2.489,2.484,2.518,2.495,0.017,5,5000,500,303872,0.550,0.220821,df3e3c0-dirty,0
scan_rowblock,1,151936,bfloat16,0,1,10.226,10.226,10.229,10.227,0.001,5,5000,500,303872,0.550,0.053737,df3e3c0-dirty,0
torch_argmax,1,151936,bfloat16,0,0,8.393,8.391,8.405,8.397,0.006,5,5000,500,303872,0.550,0.065478,df3e3c0-dirty,0
scan_split,1,151936,bfloat16,1,1,20.630,20.627,20.638,20.632,0.005,5,5000,500,303872,0.550,0.026638,df3e3c0-dirty,0
scan_split,1,151936,bfloat16,8,8,6.369,6.365,6.376,6.369,0.005,5,5000,500,303872,0.550,0.086283,df3e3c0-dirty,0
scan_split,1,151936,bfloat16,35,35,6.144,6.143,6.146,6.144,0.001,5,5000,500,303872,0.550,0.089446,df3e3c0-dirty,0
scan_split,1,151936,bfloat16,70,70,4.707,4.522,4.844,4.671,0.149,5,5000,500,303872,0.550,0.116747,df3e3c0-dirty,0
scan_split,1,151936,bfloat16,140,140,4.523,4.521,4.528,4.524,0.003,5,5000,500,303872,0.550,0.121494,df3e3c0-dirty,0
scan_split,1,151936,bfloat16,280,280,4.510,4.498,4.620,4.534,0.063,5,5000,500,303872,0.550,0.121860,df3e3c0-dirty,0
noop,4,151936,bfloat16,0,4,2.489,2.487,2.496,2.491,0.004,5,5000,500,1215488,2.198,0.883151,df3e3c0-dirty,0
scan_rowblock,4,151936,bfloat16,0,4,10.230,10.229,10.232,10.230,0.001,5,5000,500,1215488,2.198,0.214878,df3e3c0-dirty,0
torch_argmax,4,151936,bfloat16,0,0,8.709,8.698,8.720,8.708,0.010,5,5000,500,1215488,2.198,0.252405,df3e3c0-dirty,0
scan_split,4,151936,bfloat16,1,4,20.646,20.644,20.654,20.648,0.004,5,5000,500,1215488,2.198,0.106467,df3e3c0-dirty,0
scan_split,4,151936,bfloat16,8,32,6.374,6.368,6.383,6.375,0.007,5,5000,500,1215488,2.198,0.344856,df3e3c0-dirty,0
scan_split,4,151936,bfloat16,35,140,6.145,6.144,6.145,6.145,0.000,5,5000,500,1215488,2.198,0.357732,df3e3c0-dirty,0
scan_split,4,151936,bfloat16,70,280,6.145,6.144,6.146,6.145,0.001,5,5000,500,1215488,2.198,0.357724,df3e3c0-dirty,0
scan_split,4,151936,bfloat16,140,560,6.150,6.150,6.154,6.151,0.002,5,5000,500,1215488,2.198,0.357419,df3e3c0-dirty,0
scan_split,4,151936,bfloat16,280,1120,6.387,6.378,6.396,6.387,0.007,5,5000,500,1215488,2.198,0.344143,df3e3c0-dirty,0
noop,8,151936,bfloat16,0,8,2.504,2.497,2.514,2.505,0.007,5,5000,500,2430976,4.396,1.755576,df3e3c0-dirty,0
scan_rowblock,8,151936,bfloat16,0,8,10.230,10.227,10.232,10.230,0.002,5,5000,500,2430976,4.396,0.429751,df3e3c0-dirty,0
torch_argmax,8,151936,bfloat16,0,0,10.291,10.283,10.296,10.290,0.006,5,5000,500,2430976,4.396,0.427183,df3e3c0-dirty,0
scan_split,8,151936,bfloat16,1,8,20.645,20.643,20.650,20.646,0.004,5,5000,500,2430976,4.396,0.212944,df3e3c0-dirty,0
scan_split,8,151936,bfloat16,8,64,6.381,6.378,6.388,6.382,0.005,5,5000,500,2430976,4.396,0.688990,df3e3c0-dirty,0
scan_split,8,151936,bfloat16,35,280,6.185,6.181,6.188,6.184,0.003,5,5000,500,2430976,4.396,0.710813,df3e3c0-dirty,0
scan_split,8,151936,bfloat16,70,560,6.437,6.421,6.448,6.436,0.012,5,5000,500,2430976,4.396,0.683015,df3e3c0-dirty,0
scan_split,8,151936,bfloat16,140,1120,8.339,8.334,8.345,8.340,0.005,5,5000,500,2430976,4.396,0.527195,df3e3c0-dirty,0
scan_split,8,151936,bfloat16,280,2240,10.388,10.383,10.395,10.389,0.006,5,5000,500,2430976,4.396,0.423215,df3e3c0-dirty,0
noop,16,151936,bfloat16,0,16,2.525,2.519,2.531,2.525,0.005,5,5000,500,4861952,8.792,3.481513,df3e3c0-dirty,0
scan_rowblock,16,151936,bfloat16,0,16,10.236,10.236,10.238,10.237,0.001,5,5000,500,4861952,8.792,0.858950,df3e3c0-dirty,0
torch_argmax,16,151936,bfloat16,0,0,12.676,12.649,12.679,12.670,0.015,5,5000,500,4861952,8.792,0.693643,df3e3c0-dirty,0
scan_split,16,151936,bfloat16,1,16,20.678,20.673,20.681,20.677,0.004,5,5000,500,4861952,8.792,0.425211,df3e3c0-dirty,0
scan_split,16,151936,bfloat16,8,128,8.339,8.334,8.346,8.340,0.005,5,5000,500,4861952,8.792,1.054371,df3e3c0-dirty,0
scan_split,16,151936,bfloat16,35,560,8.348,8.340,8.352,8.347,0.005,5,5000,500,4861952,8.792,1.053281,df3e3c0-dirty,0
scan_split,16,151936,bfloat16,70,1120,8.382,8.373,8.386,8.380,0.006,5,5000,500,4861952,8.792,1.048979,df3e3c0-dirty,0
scan_split,16,151936,bfloat16,140,2240,10.537,10.537,10.543,10.539,0.003,5,5000,500,4861952,8.792,0.834442,df3e3c0-dirty,0
scan_split,16,151936,bfloat16,280,4480,14.568,14.563,14.568,14.567,0.002,5,5000,500,4861952,8.792,0.603560,df3e3c0-dirty,0
noop,32,151936,bfloat16,0,32,2.509,2.504,2.519,2.511,0.006,5,5000,500,9723904,17.585,7.007475,df3e3c0-dirty,0
scan_rowblock,32,151936,bfloat16,0,32,10.234,10.231,10.251,10.237,0.010,5,5000,500,9723904,17.585,1.718338,df3e3c0-dirty,0
torch_argmax,32,151936,bfloat16,0,0,16.549,16.541,16.570,16.554,0.014,5,5000,500,9723904,17.585,1.062592,df3e3c0-dirty,0
scan_split,32,151936,bfloat16,1,32,20.696,20.694,20.699,20.696,0.002,5,5000,500,9723904,17.585,0.849669,df3e3c0-dirty,0
scan_split,32,151936,bfloat16,8,256,10.473,10.420,10.484,10.457,0.031,5,5000,500,9723904,17.585,1.679057,df3e3c0-dirty,0
