op,phase,batch,vocab,top_k,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,round,git_commit
noop,0,1,151936,20,bfloat16,8,8,2.519,2.510,2.524,2.517,0.006,5,5000,500,0,df3e3c0
phase1,1,1,151936,20,bfloat16,8,8,4.136,4.134,4.140,4.137,0.003,5,5000,500,0,df3e3c0
phase2,2,1,151936,20,bfloat16,8,8,4.247,4.244,4.260,4.250,0.007,5,5000,500,0,df3e3c0
phase3,3,1,151936,20,bfloat16,8,8,6.988,6.700,7.009,6.881,0.164,5,5000,500,0,df3e3c0
phase4,4,1,151936,20,bfloat16,8,8,8.184,8.173,8.185,8.181,0.006,5,5000,500,0,df3e3c0
phase5,5,1,151936,20,bfloat16,8,8,10.606,10.293,10.696,10.516,0.206,5,5000,500,0,df3e3c0
phase6,6,1,151936,20,bfloat16,8,8,16.409,16.405,16.412,16.409,0.003,5,5000,500,0,df3e3c0
phase7,7,1,151936,20,bfloat16,8,8,20.477,20.477,20.482,20.479,0.003,5,5000,500,0,df3e3c0
full,7,1,151936,20,bfloat16,8,8,20.480,20.475,20.481,20.479,0.003,5,5000,500,0,df3e3c0
noop,0,1,151936,50,bfloat16,8,8,2.512,2.509,2.525,2.516,0.008,5,5000,500,0,df3e3c0
phase1,1,1,151936,50,bfloat16,8,8,4.144,4.138,4.145,4.142,0.003,5,5000,500,0,df3e3c0
phase2,2,1,151936,50,bfloat16,8,8,4.253,4.251,4.265,4.256,0.006,5,5000,500,0,df3e3c0
phase3,3,1,151936,50,bfloat16,8,8,6.841,6.806,7.101,6.933,0.154,5,5000,500,0,df3e3c0
phase4,4,1,151936,50,bfloat16,8,8,8.184,8.174,8.185,8.182,0.005,5,5000,500,0,df3e3c0
phase5,5,1,151936,50,bfloat16,8,8,11.892,11.829,11.911,11.882,0.039,5,5000,500,0,df3e3c0
phase6,6,1,151936,50,bfloat16,8,8,19.941,19.937,19.945,19.941,0.004,5,5000,500,0,df3e3c0
phase7,7,1,151936,50,bfloat16,8,8,23.975,23.965,24.010,23.984,0.020,5,4824,482,0,df3e3c0
full,7,1,151936,50,bfloat16,8,8,24.073,24.006,24.086,24.059,0.039,5,4718,471,0,df3e3c0
noop,0,1,151936,100,bfloat16,8,8,2.529,2.523,2.546,2.533,0.010,5,5000,500,0,df3e3c0
phase1,1,1,151936,100,bfloat16,8,8,4.148,4.142,4.153,4.148,0.005,5,5000,500,0,df3e3c0
phase2,2,1,151936,100,bfloat16,8,8,4.261,4.245,4.279,4.261,0.016,5,5000,500,0,df3e3c0
phase3,3,1,151936,100,bfloat16,8,8,6.653,6.344,6.660,6.569,0.163,5,5000,500,0,df3e3c0
phase4,4,1,151936,100,bfloat16,8,8,8.182,8.173,8.184,8.179,0.006,5,5000,500,0,df3e3c0
phase5,5,1,151936,100,bfloat16,8,8,12.281,12.272,12.282,12.279,0.005,5,5000,500,0,df3e3c0
phase6,6,1,151936,100,bfloat16,8,8,24.561,24.561,24.563,24.562,0.001,5,4810,481,0,df3e3c0
phase7,7,1,151936,100,bfloat16,8,8,30.729,30.727,30.733,30.730,0.003,5,3842,384,0,df3e3c0
full,7,1,151936,100,bfloat16,8,8,30.951,30.936,30.957,30.948,0.010,5,3734,373,0,df3e3c0
noop,0,4,151936,20,bfloat16,8,32,2.515,2.505,2.521,2.515,0.007,5,5000,500,0,df3e3c0
phase1,1,4,151936,20,bfloat16,8,32,4.169,4.168,4.181,4.173,0.007,5,5000,500,0,df3e3c0
phase2,2,4,151936,20,bfloat16,8,32,4.279,4.276,4.308,4.289,0.017,5,5000,500,0,df3e3c0
phase3,3,4,151936,20,bfloat16,8,32,7.749,7.730,7.840,7.778,0.052,5,5000,500,0,df3e3c0
phase4,4,4,151936,20,bfloat16,8,32,8.182,8.173,8.185,8.180,0.006,5,5000,500,0,df3e3c0
phase5,5,4,151936,20,bfloat16,8,32,10.666,10.327,10.668,10.571,0.176,5,5000,500,0,df3e3c0
