op,phase,batch,vocab,top_k,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,round,git_commit
noop,0,1,151936,20,bfloat16,8,8,2.526,2.522,2.532,2.527,0.004,5,5000,500,0,6ddf1e0-dirty
phase1,1,1,151936,20,bfloat16,8,8,4.152,4.146,4.161,4.153,0.007,5,5000,500,0,6ddf1e0-dirty
phase2,2,1,151936,20,bfloat16,8,8,4.261,4.256,4.263,4.260,0.003,5,5000,500,0,6ddf1e0-dirty
phase3,3,1,151936,20,bfloat16,8,8,6.633,6.335,6.636,6.560,0.167,5,5000,500,0,6ddf1e0-dirty
phase4,4,1,151936,20,bfloat16,8,8,8.171,8.170,8.175,8.172,0.002,5,5000,500,0,6ddf1e0-dirty
phase5,5,1,151936,20,bfloat16,8,8,10.289,10.262,10.297,10.283,0.016,5,5000,500,0,6ddf1e0-dirty
phase6,6,1,151936,20,bfloat16,8,8,14.380,14.378,14.382,14.380,0.002,5,5000,500,0,6ddf1e0-dirty
phase7,7,1,151936,20,bfloat16,8,8,16.374,16.372,16.379,16.375,0.003,5,5000,500,0,6ddf1e0-dirty
full,7,1,151936,20,bfloat16,8,8,16.372,16.370,16.375,16.372,0.002,5,5000,500,0,6ddf1e0-dirty
noop,0,1,151936,50,bfloat16,8,8,2.527,2.526,2.532,2.528,0.003,5,5000,500,0,6ddf1e0-dirty
phase1,1,1,151936,50,bfloat16,8,8,4.146,4.142,4.156,4.148,0.006,5,5000,500,0,6ddf1e0-dirty
phase2,2,1,151936,50,bfloat16,8,8,4.266,4.262,4.272,4.267,0.005,5,5000,500,0,6ddf1e0-dirty
phase3,3,1,151936,50,bfloat16,8,8,6.612,6.301,6.618,6.536,0.175,5,5000,500,0,6ddf1e0-dirty
phase4,4,1,151936,50,bfloat16,8,8,8.174,8.171,8.189,8.177,0.009,5,5000,500,0,6ddf1e0-dirty
phase5,5,1,151936,50,bfloat16,8,8,10.266,10.263,10.592,10.347,0.183,5,5000,500,0,6ddf1e0-dirty
phase6,6,1,151936,50,bfloat16,8,8,16.416,16.408,16.436,16.419,0.013,5,5000,500,0,6ddf1e0-dirty
phase7,7,1,151936,50,bfloat16,8,8,18.480,18.474,18.483,18.479,0.005,5,5000,500,0,6ddf1e0-dirty
full,7,1,151936,50,bfloat16,8,8,18.477,18.470,18.480,18.475,0.004,5,5000,500,0,6ddf1e0-dirty
noop,0,1,151936,100,bfloat16,8,8,2.541,2.536,2.546,2.541,0.004,5,5000,500,0,6ddf1e0-dirty
phase1,1,1,151936,100,bfloat16,8,8,4.151,4.146,4.168,4.155,0.010,5,5000,500,0,6ddf1e0-dirty
phase2,2,1,151936,100,bfloat16,8,8,4.275,4.272,4.281,4.276,0.004,5,5000,500,0,6ddf1e0-dirty
phase3,3,1,151936,100,bfloat16,8,8,6.600,6.203,6.606,6.444,0.220,5,5000,500,0,6ddf1e0-dirty
phase4,4,1,151936,100,bfloat16,8,8,8.175,8.171,8.192,8.179,0.010,5,5000,500,0,6ddf1e0-dirty
phase5,5,1,151936,100,bfloat16,8,8,12.274,12.273,12.286,12.277,0.007,5,5000,500,0,6ddf1e0-dirty
phase6,6,1,151936,100,bfloat16,8,8,20.491,20.490,20.492,20.491,0.001,5,5000,500,0,6ddf1e0-dirty
phase7,7,1,151936,100,bfloat16,8,8,24.571,24.569,24.574,24.572,0.002,5,4750,475,0,6ddf1e0-dirty
full,7,1,151936,100,bfloat16,8,8,24.575,24.575,24.577,24.576,0.001,5,4740,474,0,6ddf1e0-dirty
noop,0,4,151936,20,bfloat16,8,32,2.536,2.532,2.542,2.536,0.005,5,5000,500,0,6ddf1e0-dirty
phase1,1,4,151936,20,bfloat16,8,32,4.183,4.175,4.196,4.185,0.010,5,5000,500,0,6ddf1e0-dirty
phase2,2,4,151936,20,bfloat16,8,32,4.315,4.312,4.322,4.317,0.005,5,5000,500,0,6ddf1e0-dirty
phase3,3,4,151936,20,bfloat16,8,32,7.500,7.366,7.552,7.466,0.094,5,5000,500,0,6ddf1e0-dirty
phase4,4,4,151936,20,bfloat16,8,32,8.171,8.171,8.173,8.172,0.001,5,5000,500,0,6ddf1e0-dirty
phase5,5,4,151936,20,bfloat16,8,32,10.691,10.673,10.743,10.701,0.031,5,5000,500,0,6ddf1e0-dirty
