op,batch,vocab,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,logits_bytes,dram_floor_us,floor_frac_of_latency,git_commit,round
fused_k20,1,151936,bfloat16,1,1,56.567,53.381,56.570,55.619,1.616,5,2288,228,303872,0.550,0.009720,d544983-dirty,0
fused_k20,1,151936,bfloat16,2,2,33.928,33.918,33.969,33.937,0.024,5,3556,355,303872,0.550,0.016206,d544983-dirty,0
fused_k20,1,151936,bfloat16,4,4,23.695,23.691,23.702,23.696,0.006,5,4966,496,303872,0.550,0.023204,d544983-dirty,0
fused_k20,1,151936,bfloat16,8,8,18.490,18.483,18.490,18.488,0.004,5,5000,500,303872,0.550,0.029736,d544983-dirty,0
fused_k20,1,151936,bfloat16,16,16,18.470,18.466,18.473,18.469,0.003,5,5000,500,303872,0.550,0.029769,d544983-dirty,0
fused_k20,1,151936,bfloat16,20,20,16.452,16.448,16.458,16.452,0.005,5,5000,500,303872,0.550,0.033420,d544983-dirty,0
fused_k20,1,151936,bfloat16,32,32,20.475,20.468,20.478,20.473,0.004,5,5000,500,303872,0.550,0.026854,d544983-dirty,0
fused_k50,1,151936,bfloat16,1,1,58.694,58.668,58.755,58.707,0.039,5,2061,206,303872,0.550,0.009368,d544983-dirty,0
fused_k50,1,151936,bfloat16,2,2,36.966,36.954,36.994,36.971,0.018,5,3206,320,303872,0.550,0.014874,d544983-dirty,0
fused_k50,1,151936,bfloat16,4,4,26.575,26.572,26.582,26.576,0.005,5,4433,443,303872,0.550,0.020690,d544983-dirty,0
fused_k50,1,151936,bfloat16,8,8,22.451,22.435,22.456,22.448,0.010,5,5000,500,303872,0.550,0.024490,d544983-dirty,0
fused_k50,1,151936,bfloat16,16,16,22.841,22.839,22.844,22.841,0.002,5,5000,500,303872,0.550,0.024072,d544983-dirty,0
fused_k50,1,151936,bfloat16,20,20,21.720,21.709,21.740,21.723,0.013,5,5000,500,303872,0.550,0.025315,d544983-dirty,0
fused_k100,1,151936,bfloat16,1,1,61.352,61.324,61.391,61.352,0.030,5,1949,194,303872,0.550,0.008962,d544983-dirty,0
fused_k100,1,151936,bfloat16,2,2,40.201,40.176,40.225,40.200,0.022,5,3017,301,303872,0.550,0.013677,d544983-dirty,0
