impl,batch,vocab,top_k,top_p,dtype,kind,name,launches_per_step,device_us_per_step,steps,git_commit
fused_kernel,1,151936,50,0.9,bfloat16,kernel,"void (anonymous namespace)::topk_partial_kernel<5>(unsigned short const*, unsigned long*, int, int, int, int, int)",1.0,9.484,50,6ddf1e0-dirty
fused_kernel,1,151936,50,0.9,bfloat16,kernel,"void (anonymous namespace)::merge_sample_kernel<true, 2, 512>(unsigned long const*, long*, int, int, float, unsigned long, unsigned long, at::PhiloxCudaState, bool, bool*, float*)",1.0,8.36,50,6ddf1e0-dirty
fused_kernel,1,151936,50,0.9,bfloat16,total_kernel,,2.0,17.844,50,6ddf1e0-dirty
fused_kernel,1,151936,50,0.9,bfloat16,total_memcpy,,0,0,50,6ddf1e0-dirty
fused_kernel,1,151936,50,0.9,bfloat16,total_memset,,0,0,50,6ddf1e0-dirty
hf_eager,1,151936,50,0.9,bfloat16,kernel,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",2.0,105.594,50,6ddf1e0-dirty
hf_eager,1,151936,50,0.9,bfloat16,kernel,"void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<float, at::cuda::cub::detail::OpaqueType<8>, unsigned long long>::Policy900, false, float, at::cuda::cub::detail::OpaqueType<8>, unsigned long long, int, int, at_cuda_detail::cub::detail::identity_decomposer_t>(int*, int*, unsigned long long*, unsigned long long const*, float*, float const*, at::cuda::cub::detail::OpaqueType<8>*, at::cuda::cub::detail::OpaqueType<8> const*, int, int, int, at_cuda_detail::cub::detail::identity_decomposer_t)",4.0,34.377,50,6ddf1e0-dirty
hf_eager,1,151936,50,0.9,bfloat16,kernel,"void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(unsigned int*, short*, unsigned int*, unsigned int, int, bool, unsigned int*, float*, unsigned int*, unsigned int*, unsigned int)",4.0,22.229,50,6ddf1e0-dirty
hf_eager,1,151936,50,0.9,bfloat16,memset,Memset (Device),12.0,10.435,50,6ddf1e0-dirty
hf_eager,1,151936,50,0.9,bfloat16,kernel,"void at::native::mbtopk::radixFindKthValues<float, unsigned int, unsigned int, 1>(at::cuda::detail::TensorInfo<float const, unsigned int>, unsigned int, unsigned int*, unsigned int, unsigned int, int, int, unsigned int, unsigned int, unsigned int*, short*)",4.0,7.505,50,6ddf1e0-dirty
hf_eager,1,151936,50,0.9,bfloat16,memcpy,Memcpy DtoD (Device -> Device),5.0,6.252,50,6ddf1e0-dirty
hf_eager,1,151936,50,0.9,bfloat16,kernel,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4, 4> >(at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4, 4>)",1.0,5.321,50,6ddf1e0-dirty
