impl,batch,vocab,top_k,top_p,dtype,residency,cold_method,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,logits_bytes,dram_floor_us,floor_frac_of_latency,validation_in_timed_region,round,git_commit
hf_eager,1,151936,50,0.9,float16,hot,n/a,342.185,341.861,342.301,342.118,0.196,5,347,34,303872,0.550,0.001608,false,0,f2d1bf7-dirty
ref_eager_fullsort,1,151936,50,0.9,float16,hot,n/a,145.587,145.515,145.860,145.643,0.160,5,808,80,303872,0.550,0.003780,false,0,f2d1bf7-dirty
tight_eager,1,151936,50,0.9,float16,hot,n/a,142.475,142.436,142.526,142.477,0.042,5,833,83,303872,0.550,0.003862,false,0,f2d1bf7-dirty
flashinfer,1,151936,50,0.9,float16,hot,n/a,89.077,89.034,89.138,89.085,0.045,5,1313,131,303872,0.550,0.006178,false,0,f2d1bf7-dirty
flashinfer_from_probs,1,151936,50,0.9,float16,hot,n/a,72.284,72.125,72.619,72.344,0.237,5,1516,151,607744,1.101,0.015226,false,0,f2d1bf7-dirty
compile,1,151936,50,0.9,float16,hot,n/a,158.544,158.164,159.110,158.652,0.431,5,715,71,303872,0.550,0.003471,false,0,f2d1bf7-dirty
graph_eager,1,151936,50,0.9,float16,hot,n/a,85.407,85.065,85.445,85.283,0.198,5,1415,141,303872,0.550,0.006443,false,0,f2d1bf7-dirty
graph_compile,1,151936,50,0.9,float16,hot,n/a,75.060,75.009,75.105,75.054,0.042,5,1605,160,303872,0.550,0.007331,false,0,f2d1bf7-dirty
hf_eager,4,151936,50,0.9,float16,hot,n/a,625.353,624.913,625.699,625.340,0.344,5,191,19,1215488,2.201,0.003520,false,0,f2d1bf7-dirty
ref_eager_fullsort,4,151936,50,0.9,float16,hot,n/a,244.075,243.910,244.398,244.116,0.215,5,484,48,1215488,2.201,0.009018,false,0,f2d1bf7-dirty
tight_eager,4,151936,50,0.9,float16,hot,n/a,169.510,169.501,169.574,169.525,0.035,5,707,70,1215488,2.201,0.012985,false,0,f2d1bf7-dirty
flashinfer,4,151936,50,0.9,float16,hot,n/a,93.417,93.377,93.491,93.428,0.050,5,1249,124,1215488,2.201,0.023562,false,0,f2d1bf7-dirty
