impl,batch,vocab,top_k,top_p,dtype,residency,cold_method,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,logits_bytes,dram_floor_us,floor_frac_of_latency,validation_in_timed_region,round,git_commit
hf_eager,1,151936,50,0.9,float16,hot,n/a,324.960,324.667,325.459,325.034,0.343,5,365,36,303872,0.549,0.001690,false,0,444ecfd-dirty
ref_eager_fullsort,1,151936,50,0.9,float16,hot,n/a,141.158,141.101,141.625,141.280,0.251,5,828,82,303872,0.549,0.003891,false,0,444ecfd-dirty
tight_eager,1,151936,50,0.9,float16,hot,n/a,137.078,136.985,137.298,137.120,0.139,5,860,86,303872,0.549,0.004007,false,0,444ecfd-dirty
flashinfer,1,151936,50,0.9,float16,hot,n/a,84.275,84.243,84.589,84.345,0.179,5,1346,134,303872,0.549,0.006518,false,0,444ecfd-dirty
flashinfer_from_probs,1,151936,50,0.9,float16,hot,n/a,72.071,71.901,72.256,72.084,0.158,5,1537,153,607744,1.099,0.015243,false,0,444ecfd-dirty
fused_kernel,1,151936,50,0.9,float16,hot,n/a,22.521,22.518,22.522,22.520,0.002,5,5000,500,303872,0.549,0.024391,false,0,444ecfd-dirty
compile,1,151936,50,0.9,float16,hot,n/a,159.686,158.901,170.349,162.131,6.072,5,713,71,303872,0.549,0.003440,false,0,444ecfd-dirty
graph_eager,1,151936,50,0.9,float16,hot,n/a,81.580,81.410,81.656,81.556,0.110,5,1462,146,303872,0.549,0.006733,false,0,444ecfd-dirty
graph_compile,1,151936,50,0.9,float16,hot,n/a,71.906,71.874,71.959,71.917,0.039,5,1669,166,303872,0.549,0.007639,false,0,444ecfd-dirty
hf_eager,4,151936,50,0.9,float16,hot,n/a,598.585,598.372,599.117,598.709,0.329,5,200,20,1215488,2.197,0.003671,false,0,444ecfd-dirty
ref_eager_fullsort,4,151936,50,0.9,float16,hot,n/a,235.229,234.859,235.358,235.138,0.232,5,510,51,1215488,2.197,0.009341,false,0,444ecfd-dirty
tight_eager,4,151936,50,0.9,float16,hot,n/a,164.288,164.211,164.353,164.284,0.063,5,727,72,1215488,2.197,0.013374,false,0,444ecfd-dirty
flashinfer,4,151936,50,0.9,float16,hot,n/a,85.312,85.290,85.367,85.325,0.035,5,1328,132,1215488,2.197,0.025755,false,0,444ecfd-dirty
flashinfer_from_probs,4,151936,50,0.9,float16,hot,n/a,73.675,73.617,73.813,73.707,0.087,5,1470,147,2430976,4.394,0.059646,false,0,444ecfd-dirty
fused_kernel,4,151936,50,0.9,float16,hot,n/a,22.537,22.532,22.539,22.536,0.003,5,5000,500,1215488,2.197,0.097494,false,0,444ecfd-dirty
compile,4,151936,50,0.9,float16,hot,n/a,152.516,152.237,152.900,152.527,0.292,5,730,73,1215488,2.197,0.014406,false,0,444ecfd-dirty
graph_eager,4,151936,50,0.9,float16,hot,n/a,104.894,104.559,104.939,104.811,0.183,5,1162,116,1215488,2.197,0.020947,false,0,444ecfd-dirty
graph_compile,4,151936,50,0.9,float16,hot,n/a,95.110,95.082,95.139,95.109,0.024,5,1262,126,1215488,2.197,0.023102,false,0,444ecfd-dirty
hf_eager,8,151936,50,0.9,float16,hot,n/a,704.825,702.748,710.319,705.690,3.451,5,167,16,2430976,4.394,0.006235,false,0,444ecfd-dirty
ref_eager_fullsort,8,151936,50,0.9,float16,hot,n/a,354.146,347.759,354.312,352.438,3.393,5,348,34,2430976,4.394,0.012408,false,0,444ecfd-dirty
tight_eager,8,151936,50,0.9,float16,hot,n/a,167.146,166.977,167.256,167.129,0.121,5,714,71,2430976,4.394,0.026291,false,0,444ecfd-dirty
flashinfer,8,151936,50,0.9,float16,hot,n/a,90.523,90.495,90.549,90.522,0.023,5,1322,132,2430976,4.394,0.048545,false,0,444ecfd-dirty
flashinfer_from_probs,8,151936,50,0.9,float16,hot,n/a,74.139,74.045,74.373,74.195,0.147,5,1489,148,4861952,8.789,0.118546,false,0,444ecfd-dirty
fused_kernel,8,151936,50,0.9,float16,hot,n/a,22.562,22.561,22.562,22.562,0.001,5,5000,500,2430976,4.394,0.194771,false,0,444ecfd-dirty
compile,8,151936,50,0.9,float16,hot,n/a,152.067,151.679,152.161,151.993,0.230,5,735,73,2430976,4.394,0.028898,false,0,444ecfd-dirty
graph_eager,8,151936,50,0.9,float16,hot,n/a,107.999,107.760,108.036,107.936,0.131,5,1122,112,2430976,4.394,0.040689,false,0,444ecfd-dirty
graph_compile,8,151936,50,0.9,float16,hot,n/a,98.139,98.090,98.158,98.131,0.031,5,1226,122,2430976,4.394,0.044777,false,0,444ecfd-dirty
hf_eager,16,151936,50,0.9,float16,hot,n/a,1185.206,1184.345,1187.246,1185.528,1.296,5,100,10,4861952,8.789,0.007415,false,0,444ecfd-dirty
ref_eager_fullsort,16,151936,50,0.9,float16,hot,n/a,696.772,693.217,697.166,695.897,1.951,5,173,17,4861952,8.789,0.012614,false,0,444ecfd-dirty
tight_eager,16,151936,50,0.9,float16,hot,n/a,182.912,182.848,183.291,182.999,0.212,5,650,65,4861952,8.789,0.048049,false,0,444ecfd-dirty
