impl,batch,vocab,top_k,top_p,dtype,residency,cold_method,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,logits_bytes,dram_floor_us,floor_frac_of_latency,validation_in_timed_region,round,git_commit
hf_eager,1,151936,50,0.9,float16,hot,n/a,324.000,323.700,324.765,324.198,0.510,5,363,36,303872,0.548,0.001692,false,0,6ddf1e0-dirty
ref_eager_fullsort,1,151936,50,0.9,float16,hot,n/a,141.640,141.197,141.707,141.491,0.260,5,826,82,303872,0.548,0.003870,false,0,6ddf1e0-dirty
tight_eager,1,151936,50,0.9,float16,hot,n/a,137.089,136.958,137.168,137.065,0.093,5,860,86,303872,0.548,0.003999,false,0,6ddf1e0-dirty
flashinfer,1,151936,50,0.9,float16,hot,n/a,83.837,83.738,83.959,83.843,0.096,5,1382,138,303872,0.548,0.006539,false,0,6ddf1e0-dirty
flashinfer_from_probs,1,151936,50,0.9,float16,hot,n/a,73.033,72.804,73.263,73.040,0.199,5,1510,151,607744,1.096,0.015013,false,0,6ddf1e0-dirty
fused_kernel,1,151936,50,0.9,float16,hot,n/a,18.989,18.965,18.998,18.982,0.015,5,5000,500,303872,0.548,0.028869,false,0,6ddf1e0-dirty
compile,1,151936,50,0.9,float16,hot,n/a,159.901,159.597,160.169,159.896,0.246,5,713,71,303872,0.548,0.003428,false,0,6ddf1e0-dirty
graph_eager,1,151936,50,0.9,float16,hot,n/a,81.651,81.626,81.732,81.668,0.048,5,1469,146,303872,0.548,0.006714,false,0,6ddf1e0-dirty
graph_compile,1,151936,50,0.9,float16,hot,n/a,72.078,72.020,72.111,72.070,0.040,5,1663,166,303872,0.548,0.007606,false,0,6ddf1e0-dirty
hf_eager,4,151936,50,0.9,float16,hot,n/a,598.777,598.142,599.500,598.852,0.599,5,199,19,1215488,2.193,0.003662,false,0,6ddf1e0-dirty
ref_eager_fullsort,4,151936,50,0.9,float16,hot,n/a,234.709,234.574,234.740,234.675,0.078,5,510,51,1215488,2.193,0.009343,false,0,6ddf1e0-dirty
tight_eager,4,151936,50,0.9,float16,hot,n/a,164.027,163.951,164.193,164.039,0.115,5,728,72,1215488,2.193,0.013369,false,0,6ddf1e0-dirty
flashinfer,4,151936,50,0.9,float16,hot,n/a,85.339,85.290,85.357,85.328,0.032,5,1351,135,1215488,2.193,0.025696,false,0,6ddf1e0-dirty
flashinfer_from_probs,4,151936,50,0.9,float16,hot,n/a,74.074,73.848,74.727,74.227,0.391,5,1494,149,2430976,4.386,0.059206,false,0,6ddf1e0-dirty
