path,stage,batch,vocab,top_k,top_p,dtype,isolated_us,kernels,pct_of_path_total,path_total_us,git_commit
hf_eager,cast_fp32,1,151936,50,0.9,bfloat16,4.094,1,1.19,344.344,f2d1bf7-dirty
hf_eager,topk_warper,1,151936,50,0.9,bfloat16,79.237,21,23.01,344.344,f2d1bf7-dirty
hf_eager,topp_warper,1,151936,50,0.9,bfloat16,146.210,23,42.46,344.344,f2d1bf7-dirty
hf_eager,topp:full_sort,1,151936,50,0.9,bfloat16,68.522,14,19.90,344.344,f2d1bf7-dirty
hf_eager,topp:softmax,1,151936,50,0.9,bfloat16,55.277,1,16.05,344.344,f2d1bf7-dirty
hf_eager,topp:cumsum,1,151936,50,0.9,bfloat16,61.590,3,17.89,344.344,f2d1bf7-dirty
hf_eager,topp:scatter+mask,1,151936,50,0.9,bfloat16,25.715,6,7.47,344.344,f2d1bf7-dirty
hf_eager,final_softmax,1,151936,50,0.9,bfloat16,55.277,1,16.05,344.344,f2d1bf7-dirty
hf_eager,multinomial,1,151936,50,0.9,bfloat16,68.038,18,19.76,344.344,f2d1bf7-dirty
hf_eager,TOTAL,1,151936,50,0.9,bfloat16,344.344,64,100.00,344.344,f2d1bf7-dirty
tight_eager,cast_fp32,1,151936,50,0.9,bfloat16,4.496,1,2.45,183.777,f2d1bf7-dirty
tight_eager,topk,1,151936,50,0.9,bfloat16,70.264,18,38.23,183.777,f2d1bf7-dirty
tight_eager,softmax_k,1,151936,50,0.9,bfloat16,4.090,1,2.23,183.777,f2d1bf7-dirty
tight_eager,cumsum_k,1,151936,50,0.9,bfloat16,8.191,2,4.46,183.777,f2d1bf7-dirty
tight_eager,topp_mask_k,1,151936,50,0.9,bfloat16,8.502,2,4.63,183.777,f2d1bf7-dirty
tight_eager,renorm_k,1,151936,50,0.9,bfloat16,8.867,2,4.82,183.777,f2d1bf7-dirty
tight_eager,multinomial_k,1,151936,50,0.9,bfloat16,57.632,14,31.36,183.777,f2d1bf7-dirty
tight_eager,gather,1,151936,50,0.9,bfloat16,5.215,1,2.84,183.777,f2d1bf7-dirty
tight_eager,TOTAL,1,151936,50,0.9,bfloat16,183.777,43,100.00,183.777,f2d1bf7-dirty
hf_eager,cast_fp32,8,151936,50,0.9,bfloat16,7.878,1,1.13,696.900,f2d1bf7-dirty
