dtype,vocab,batch,top_k,top_p,hf_tv_vs_fp32_mean,hf_tv_vs_fp32_max,ours_tv_vs_fp32_mean,ours_tv_vs_fp32_max,tv_vs_hf_mean,tv_vs_hf_max,rows_with_boundary_tie,tie_multiplicity_median,tie_multiplicity_max,ours_closer_to_fp32,git_commit
float16,128256,512,20,0.9,0.002854,0.035837,0.002380,0.029863,0.002151,0.035837,0.1328,1,3,1,f237e0f-dirty
float16,128256,512,20,0.95,0.002653,0.030893,0.001726,0.026154,0.001687,0.030893,0.1328,1,3,1,f237e0f-dirty
float16,128256,512,20,1.0,0.002006,0.027046,0.001721,0.021369,0.000775,0.027046,0.1328,1,3,1,f237e0f-dirty
float16,128256,512,50,0.9,0.002334,0.020970,0.001851,0.012099,0.001485,0.020970,0.3105,1,4,1,f237e0f-dirty
float16,128256,512,50,0.95,0.002094,0.014731,0.001653,0.012406,0.001186,0.014731,0.3105,1,4,1,f237e0f-dirty
float16,128256,512,50,1.0,0.001785,0.012989,0.001611,0.007099,0.000670,0.012989,0.3105,1,4,1,f237e0f-dirty
float16,128256,512,100,0.9,0.001930,0.007613,0.001714,0.009714,0.000967,0.008659,0.4824,1,5,1,f237e0f-dirty
float16,128256,512,100,0.95,0.001823,0.006716,0.001628,0.004729,0.000898,0.006716,0.4824,1,5,1,f237e0f-dirty
float16,128256,512,100,1.0,0.001580,0.005061,0.001539,0.004952,0.000502,0.005038,0.4824,1,5,1,f237e0f-dirty
bfloat16,128256,512,20,0.9,0.017483,0.084460,0.015539,0.077054,0.011452,0.084460,0.6875,2,6,1,f237e0f-dirty
bfloat16,128256,512,20,0.95,0.017249,0.093179,0.013961,0.041273,0.010646,0.093179,0.6875,2,6,1,f237e0f-dirty
bfloat16,128256,512,20,1.0,0.014575,0.087582,0.013572,0.048334,0.006413,0.087582,0.6875,2,6,1,f237e0f-dirty
bfloat16,128256,512,50,0.9,0.015141,0.034676,0.013160,0.029010,0.007858,0.035187,0.9258,4,10,1,f237e0f-dirty
bfloat16,128256,512,50,0.95,0.014251,0.033014,0.012480,0.030666,0.006875,0.035954,0.9258,4,10,1,f237e0f-dirty
bfloat16,128256,512,50,1.0,0.013105,0.032455,0.012377,0.026542,0.005019,0.032093,0.9258,4,10,1,f237e0f-dirty
bfloat16,128256,512,100,0.9,0.013252,0.024328,0.012444,0.026924,0.005625,0.021669,0.9941,6,14,1,f237e0f-dirty
bfloat16,128256,512,100,0.95,0.012977,0.025321,0.011939,0.023526,0.005153,0.025328,0.9941,6,14,1,f237e0f-dirty
bfloat16,128256,512,100,1.0,0.012270,0.023771,0.011594,0.021110,0.003935,0.023309,0.9941,6,14,1,f237e0f-dirty
